russian_title,english_title,director_name_rus,year
Приветствие джаггера,The Blood of Heroes,Дэвид Уэбб Пиплз,1989
Кошмары и мечты (мини-сериал),Joko Anwar's Nightmares and Daydreams,Джоко Анвар,2024
Смайли,Smiley,Майкл Дж. Галлахер,2012
"О смерти, о любви",Dellamorte Dellamore,Микеле Соави,1993
Красный штат,Red State,Кевин Смит,2011
Князь тьмы,Prince of Darkness,Джон Карпентер,1987
Выход Дьявола,The Devil Rides Out,Теренс Фишер,1967
Девушки в последнем путешествии (сериал),Shoujo Shuumatsu Ryokou,Такахару Одзаки,2017
Эксперимент: Зло,The Quiet Ones,Джон Пог,2014
Философия ножа,Philosophy of a Knife,Андрей Исканов,2008
Кот-мастер на все лапы снова грустит (сериал),Dekiru Neko wa Kyou mo Yuuutsu (2023 – ...) 23 мин.,Сусуму Кудо,
Кошмары,Come True,Энтони Скотт Бёрнс,2020
Стигматы,Stigmata,Руперт Уэйнрайт,1999
Избави нас от лукавого,Deliver Us from Evil,Скотт Дерриксон,2014
Между,Twixt,Фрэнсис Форд Коппола,2011
Ночной народ,Nightbreed,Клайв Баркер,1990
Фицкарральдо,Fitzcarraldo,Вернер Херцог,1982
Зеленая кобра,Cobra Verde,Вернер Херцог,1987
Вечерний экспресс «Сансет Лимитед»,The Sunset Limited,Томми Ли Джонс,2010
Виртуальный кошмар,Virtual Nightmare,Майкл Паттинсон,2000
Валерия и неделя чудес,Valerie a týden divů,Яромил Иреш,1970
Шоссе,Freeway,Мэттью Брайт,1996
Темнота наступает,Darkness Falls,Джонатан Либесман,2003
Дорохэдоро (сериал),Dorohedoro (2020 – ...) 24 мин.,Юитиро Хаяси,
Дипломная работа,Tesis,Алехандро Аменабар,1996
Волк,Wolf,Майк Николс,1994
Апостол,Apostle,Гарет Эванс,2018
Рейд,Serbuan maut,Гарет Эванс,2011
Спираль (мини-сериал),Uzumaki,Хироси Нагахама,
Жабья тропа,Toad Road,Джейсон Бенкер,2012
Пули над Бродвеем,Bullets Over Broadway,Вуди Аллен,1994
"Неимоверно странные существа, переставшие жить и ставшие полузомби!!?",The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,Рэй Деннис Стеклер,1964
Тупик (мини-сериал),Dead Set,Ян Деманж,2008
Следующая остановка – кошмар (сериал),Blodtur,Гер Хеннинг Хопланд,2020
"Ништяк, браток",Feels Good Man,Артур Джонс,2020
Сбой в матрице,A Glitch in the Matrix,Родни Ашер,2021
Повелитель бури,The Hurt Locker,Кэтрин Бигелоу,2008
Город призраков,City of Ghosts,Мэтт Хейнеман,2017
Неудобная правда,An Inconvenient Truth,Дэвис Гуггенхайм,2006
Сад,Záhrada,Мартин Шулик,1995
Политех,Polytechnique,Дени Вильнёв,2008
Крысолов,Krysař,Франтишек Антонин Брабец,2003
Жажда,Bakjwi,Пак Чхан-ук,2009
Страна садов,Garden State,Зак Брафф,2003
Хешер,Hesher,Спенсер Сассер,2010
Револьвер,Revolver,Гай Ричи,2005
Все самое лучшее,All Good Things,Эндрю Джареки,2009
Бездельник,Slacker,Ричард Линклейтер,1990
"Париж, я люблю тебя","Paris, je t'aime",Оливье Ассайас,2006
Останься,Stay,Марк Форстер,2005
Яйцо ангела,Tenshi no tamago,Мамору Осии,1985
Вопящие шедевры,Gargandi snilld,Ари Александр Эргис Магнуссон,2005
Долина теней,Skyggenes dal,Йонас Матсов Гулбрандсен,2017
Девушка по соседству,The Girl Next Door,Грегори Уилсон,2007
Цикута,(2003) 104 мин.,Александр Шапиро,
Город-бомба,Bomb City,Джэми Брукс,2017
Битва за Алжир,La battaglia di Algeri,Джилло Понтекорво,1966
Бесит быть нормальным,Mad to Be Normal,Роберт Маллан,2016
Девять жизней Нестора Махно (сериал),(2006) 52 мин.,Николай Каптан,
Маньяк (сериал),Maniac,Кэри Дзёдзи Фукунага,2018
